,report_date,bond,bond_yield
18980,2023-10-11,R2053,12.73
18987,2023-10-11,ZARGB25,12.73
18985,2023-10-11,ZARGB15,12.66
18988,2023-10-11,ZARGB30,12.73
18983,2023-10-11,ZARGB5,10.089
18982,2023-10-11,ZARGB3,9.222
18981,2023-10-11,ZARGB2,9.078
18947,2023-10-10,SATB12M,8.934
18948,2023-10-10,R186,9.315
18949,2023-10-10,R2030,10.765
18950,2023-10-10,R213,11.31
18951,2023-10-10,R2032,11.64
18952,2023-10-10,R2035,12.28
18953,2023-10-10,R209,12.345
18954,2023-10-10,R2037,12.58
18955,2023-10-10,R2040,12.79
18956,2023-10-10,R214,12.685
18957,2023-10-10,R2044,12.875
18958,2023-10-10,R2048,12.78
18960,2023-10-10,ZARGB2,9.107
18961,2023-10-10,ZARGB3,9.28
18962,2023-10-10,ZARGB5,10.153
18963,2023-10-10,ZARGB10,11.974
18964,2023-10-10,ZARGB15,12.698
18965,2023-10-10,ZARGB20,12.854
18966,2023-10-10,ZARGB25,12.78
18967,2023-10-10,ZARGB30,12.78
18959,2023-10-10,R2053,12.78
18930,2023-10-09,R2032,11.78
18934,2023-10-09,R2040,12.91
18933,2023-10-09,R2037,12.7
18932,2023-10-09,R209,12.465
18931,2023-10-09,R2035,12.4
18936,2023-10-09,R2044,12.99
18929,2023-10-09,R213,11.45
18928,2023-10-09,R2030,10.905
18927,2023-10-09,R186,9.45
18926,2023-10-09,SATB12M,8.934
18935,2023-10-09,R214,12.805
18942,2023-10-09,ZARGB10,12.103
18937,2023-10-09,R2048,12.895
18939,2023-10-09,ZARGB2,9.168
18940,2023-10-09,ZARGB3,9.403
18941,2023-10-09,ZARGB5,10.289
18938,2023-10-09,R2053,12.85
18943,2023-10-09,ZARGB15,12.817
18944,2023-10-09,ZARGB20,12.969
18945,2023-10-09,ZARGB25,12.89
18946,2023-10-09,ZARGB30,12.846
18906,2023-10-06,R2035,12.39
18910,2023-10-06,R214,12.8
18909,2023-10-06,R2040,12.9
18908,2023-10-06,R2037,12.685
18907,2023-10-06,R209,12.45
18901,2023-10-06,SATB12M,9.014
18905,2023-10-06,R2032,11.78
18904,2023-10-06,R213,11.455
18903,2023-10-06,R2030,10.91
18902,2023-10-06,R186,9.465
18912,2023-10-06,R2048,12.89
18911,2023-10-06,R2044,12.985
18913,2023-10-06,R2053,12.85
18924,2023-10-06,SATB9M,9.22
18920,2023-10-06,ZARGB25,12.885
18925,2023-10-06,REPO,8.25
18914,2023-10-06,ZARGB2,9.218
18923,2023-10-06,SATB6M,9.1
18922,2023-10-06,SATB3M,8.67
18921,2023-10-06,ZARGB30,12.846
18919,2023-10-06,ZARGB20,12.964
18918,2023-10-06,ZARGB15,12.805
18917,2023-10-06,ZARGB10,12.096
18916,2023-10-06,ZARGB5,10.295
18915,2023-10-06,ZARGB3,9.422
18885,2023-10-05,R2035,12.49
18880,2023-10-05,SATB12M,9.014
18888,2023-10-05,R2040,13.01
18887,2023-10-05,R2037,12.795
18886,2023-10-05,R209,12.56
18890,2023-10-05,R2044,13.09
18884,2023-10-05,R2032,11.86
18883,2023-10-05,R213,11.535
18882,2023-10-05,R2030,10.99
18881,2023-10-05,R186,9.58
18889,2023-10-05,R214,12.905
18892,2023-10-05,R2053,12.95
18891,2023-10-05,R2048,12.995
18894,2023-10-05,ZARGB3,9.525
18895,2023-10-05,ZARGB5,10.389
18896,2023-10-05,ZARGB10,12.186
18897,2023-10-05,ZARGB15,12.914
18898,2023-10-05,ZARGB20,13.069
18899,2023-10-05,ZARGB25,12.99
18900,2023-10-05,ZARGB30,12.946
18893,2023-10-05,ZARGB2,9.27
18864,2023-10-04,R2035,12.6
18867,2023-10-04,R2040,13.12
18866,2023-10-04,R2037,12.89
18865,2023-10-04,R209,12.66
18859,2023-10-04,SATB12M,9.014
18863,2023-10-04,R2032,11.96
18862,2023-10-04,R213,11.64
18861,2023-10-04,R2030,11.1
18860,2023-10-04,R186,9.71
18868,2023-10-04,R214,13.005
18869,2023-10-04,R2044,13.19
18870,2023-10-04,R2048,13.1
18872,2023-10-04,ZARGB2,9.328
18873,2023-10-04,ZARGB3,9.642
18874,2023-10-04,ZARGB5,10.506
18875,2023-10-04,ZARGB10,12.29
18876,2023-10-04,ZARGB15,13.017
18877,2023-10-04,ZARGB20,13.169
18878,2023-10-04,ZARGB25,13.094
18879,2023-10-04,ZARGB30,13.045
18871,2023-10-04,R2053,13.05
18842,2023-10-03,R2032,11.87
18846,2023-10-03,R2040,13.02
18845,2023-10-03,R2037,12.825
18844,2023-10-03,R209,12.575
18843,2023-10-03,R2035,12.5
18848,2023-10-03,R2044,13.1
18841,2023-10-03,R213,11.535
18840,2023-10-03,R2030,11.005
18839,2023-10-03,R186,9.615
18838,2023-10-03,SATB12M,9.014
18847,2023-10-03,R214,12.915
18854,2023-10-03,ZARGB10,12.194
18849,2023-10-03,R2048,13.01
18855,2023-10-03,ZARGB15,12.933
18857,2023-10-03,ZARGB25,13.004
18856,2023-10-03,ZARGB20,13.078
18858,2023-10-03,ZARGB30,12.955
18853,2023-10-03,ZARGB5,10.41
18852,2023-10-03,ZARGB3,9.556
18851,2023-10-03,ZARGB2,9.285
18850,2023-10-03,R2053,12.96
18817,2023-10-02,SATB12M,9.014
18827,2023-10-02,R2044,13.047
18818,2023-10-02,R186,9.465
18819,2023-10-02,R2030,10.871
18820,2023-10-02,R213,11.425
18821,2023-10-02,R2032,11.76
18822,2023-10-02,R2035,12.43
18823,2023-10-02,R209,12.515
18824,2023-10-02,R2037,12.77
18825,2023-10-02,R2040,12.96
18826,2023-10-02,R214,12.865
18828,2023-10-02,R2048,12.944
18830,2023-10-02,ZARGB2,9.217
18831,2023-10-02,ZARGB3,9.42
18832,2023-10-02,ZARGB5,10.268
18833,2023-10-02,ZARGB10,12.104
18834,2023-10-02,ZARGB15,12.875
18835,2023-10-02,ZARGB20,13.026
18836,2023-10-02,ZARGB25,12.941
18837,2023-10-02,ZARGB30,12.918
18829,2023-10-02,R2053,12.92
18798,2023-09-29,R209,12.45
18802,2023-09-29,R2044,12.985
18801,2023-09-29,R214,12.79
18800,2023-09-29,R2040,12.89
18799,2023-09-29,R2037,12.715
18793,2023-09-29,R186,9.415
18797,2023-09-29,R2035,12.37
18796,2023-09-29,R2032,11.71
18795,2023-09-29,R213,11.37
18794,2023-09-29,R2030,10.82
18792,2023-09-29,SATB12M,9.014
18803,2023-09-29,R2048,12.88
18804,2023-09-29,R2053,12.845
18805,2023-09-29,ZARGB2,9.194
18812,2023-09-29,ZARGB30,12.842
18806,2023-09-29,ZARGB3,9.374
18815,2023-09-29,SATB9M,9.18
18814,2023-09-29,SATB6M,9.12
18813,2023-09-29,SATB3M,8.54
18816,2023-09-29,REPO,8.25
18811,2023-09-29,ZARGB25,12.876
18810,2023-09-29,ZARGB20,12.961
18809,2023-09-29,ZARGB15,12.811
18808,2023-09-29,ZARGB10,12.047
18807,2023-09-29,ZARGB5,10.213
18781,2023-09-28,R2044,13.19
18771,2023-09-28,SATB12M,9.014
18772,2023-09-28,R186,9.585
18773,2023-09-28,R2030,10.995
18774,2023-09-28,R213,11.545
18775,2023-09-28,R2032,11.91
18776,2023-09-28,R2035,12.58
18777,2023-09-28,R209,12.665
18778,2023-09-28,R2037,12.925
18779,2023-09-28,R2040,13.09
18780,2023-09-28,R214,13.005
18783,2023-09-28,R2053,13.05
18782,2023-09-28,R2048,13.085
18785,2023-09-28,ZARGB3,9.525
18786,2023-09-28,ZARGB5,10.385
18787,2023-09-28,ZARGB10,12.252
18788,2023-09-28,ZARGB15,13.016
18789,2023-09-28,ZARGB20,13.167
18790,2023-09-28,ZARGB25,13.081
18791,2023-09-28,ZARGB30,13.047
18784,2023-09-28,ZARGB2,9.27
18755,2023-09-27,R2035,12.43
18758,2023-09-27,R2040,12.96
18757,2023-09-27,R2037,12.765
18756,2023-09-27,R209,12.505
18750,2023-09-27,SATB12M,9.014
18754,2023-09-27,R2032,11.72
18753,2023-09-27,R213,11.365
18752,2023-09-27,R2030,10.815
18751,2023-09-27,R186,9.41
18759,2023-09-27,R214,12.865
18760,2023-09-27,R2044,13.05
18761,2023-09-27,R2048,12.95
18767,2023-09-27,ZARGB15,12.872
18770,2023-09-27,ZARGB30,12.895
18769,2023-09-27,ZARGB25,12.944
18768,2023-09-27,ZARGB20,13.027
18762,2023-09-27,R2053,12.9
18766,2023-09-27,ZARGB10,12.082
18765,2023-09-27,ZARGB5,10.206
18764,2023-09-27,ZARGB3,9.368
18763,2023-09-27,ZARGB2,9.191
18739,2023-09-26,R2044,13.02
18729,2023-09-26,SATB12M,9.014
18730,2023-09-26,R186,9.37
18731,2023-09-26,R2030,10.76
18732,2023-09-26,R213,11.315
18733,2023-09-26,R2032,11.67
18734,2023-09-26,R2035,12.4
18735,2023-09-26,R209,12.48
18736,2023-09-26,R2037,12.745
18737,2023-09-26,R2040,12.93
18738,2023-09-26,R214,12.84
18740,2023-09-26,R2048,12.92
18749,2023-09-26,ZARGB30,12.865
18742,2023-09-26,ZARGB2,9.173
18743,2023-09-26,ZARGB3,9.332
18744,2023-09-26,ZARGB5,10.156
18745,2023-09-26,ZARGB10,12.041
18746,2023-09-26,ZARGB15,12.846
18747,2023-09-26,ZARGB20,12.998
18748,2023-09-26,ZARGB25,12.915
18741,2023-09-26,R2053,12.87
18713,2023-09-25,R2035,12.25
18708,2023-09-25,SATB12M,9.014
18715,2023-09-25,R2037,12.585
18714,2023-09-25,R209,12.34
18718,2023-09-25,R2044,12.89
18712,2023-09-25,R2032,11.54
18711,2023-09-25,R213,11.19
18710,2023-09-25,R2030,10.64
18709,2023-09-25,R186,9.255
18717,2023-09-25,R214,12.705
18716,2023-09-25,R2040,12.79
18719,2023-09-25,R2048,12.79
18721,2023-09-25,ZARGB2,9.122
18722,2023-09-25,ZARGB3,9.229
18723,2023-09-25,ZARGB5,10.037
18724,2023-09-25,ZARGB10,11.9
18725,2023-09-25,ZARGB15,12.697
18726,2023-09-25,ZARGB20,12.867
18727,2023-09-25,ZARGB25,12.783
18728,2023-09-25,ZARGB30,12.725
18720,2023-09-25,R2053,12.73
18689,2023-09-22,R209,12.34
18693,2023-09-22,R2044,12.89
18692,2023-09-22,R214,12.705
18691,2023-09-22,R2040,12.79
18690,2023-09-22,R2037,12.585
18684,2023-09-22,R186,9.255
18688,2023-09-22,R2035,12.25
18687,2023-09-22,R2032,11.54
18686,2023-09-22,R213,11.19
18685,2023-09-22,R2030,10.64
18683,2023-09-22,SATB12M,9.014
18694,2023-09-22,R2048,12.79
18695,2023-09-22,R2053,12.73
18696,2023-09-22,ZARGB2,9.121
18703,2023-09-22,ZARGB30,12.725
18697,2023-09-22,ZARGB3,9.228
18706,2023-09-22,SATB9M,9.18
18705,2023-09-22,SATB6M,9.12
18704,2023-09-22,SATB3M,8.54
18707,2023-09-22,REPO,8.25
18702,2023-09-22,ZARGB25,12.784
18701,2023-09-22,ZARGB20,12.866
18700,2023-09-22,ZARGB15,12.696
18699,2023-09-22,ZARGB10,11.898
18698,2023-09-22,ZARGB5,10.033
18672,2023-09-21,R2044,12.825
18662,2023-09-21,SATB12M,8.813
18663,2023-09-21,R186,9.17
18664,2023-09-21,R2030,10.55
18665,2023-09-21,R213,11.1
18666,2023-09-21,R2032,11.46
18667,2023-09-21,R2035,12.17
18668,2023-09-21,R209,12.255
18669,2023-09-21,R2037,12.495
18670,2023-09-21,R2040,12.72
18671,2023-09-21,R214,12.64
18680,2023-09-21,ZARGB20,12.801
18673,2023-09-21,R2048,12.725
18678,2023-09-21,ZARGB10,11.818
18681,2023-09-21,ZARGB25,12.719
18674,2023-09-21,R2053,12.67
18679,2023-09-21,ZARGB15,12.617
18682,2023-09-21,ZARGB30,12.665
18677,2023-09-21,ZARGB5,9.944
18676,2023-09-21,ZARGB3,9.13
18675,2023-09-21,ZARGB2,8.972
18650,2023-09-20,R214,12.54
18641,2023-09-20,SATB12M,8.813
18642,2023-09-20,R186,9.07
18643,2023-09-20,R2030,10.44
18644,2023-09-20,R213,11.0
18645,2023-09-20,R2032,11.37
18646,2023-09-20,R2035,12.07
18647,2023-09-20,R209,12.155
18648,2023-09-20,R2037,12.41
18649,2023-09-20,R2040,12.62
18651,2023-09-20,R2044,12.72
18661,2023-09-20,ZARGB30,12.555
18653,2023-09-20,R2053,12.56
18654,2023-09-20,ZARGB2,8.927
18655,2023-09-20,ZARGB3,9.041
18656,2023-09-20,ZARGB5,9.838
18657,2023-09-20,ZARGB10,11.722
18658,2023-09-20,ZARGB15,12.524
18659,2023-09-20,ZARGB20,12.697
18660,2023-09-20,ZARGB25,12.614
18652,2023-09-20,R2048,12.62
18624,2023-09-19,R2032,11.37
18627,2023-09-19,R2037,12.425
18626,2023-09-19,R209,12.17
18625,2023-09-19,R2035,12.08
18630,2023-09-19,R2044,12.71
18623,2023-09-19,R213,11.02
18622,2023-09-19,R2030,10.47
18621,2023-09-19,R186,9.09
18620,2023-09-19,SATB12M,8.813
18628,2023-09-19,R2040,12.62
18629,2023-09-19,R214,12.54
18631,2023-09-19,R2048,12.615
18636,2023-09-19,ZARGB10,11.726
18639,2023-09-19,ZARGB25,12.608
18638,2023-09-19,ZARGB20,12.688
18637,2023-09-19,ZARGB15,12.53
18640,2023-09-19,ZARGB30,12.544
18635,2023-09-19,ZARGB5,9.862
18634,2023-09-19,ZARGB3,9.058
18633,2023-09-19,ZARGB2,8.936
18632,2023-09-19,R2053,12.55
18608,2023-09-18,R214,12.55
18599,2023-09-18,SATB12M,8.813
18600,2023-09-18,R186,9.1
18601,2023-09-18,R2030,10.495
18602,2023-09-18,R213,11.05
18603,2023-09-18,R2032,11.39
18604,2023-09-18,R2035,12.09
18605,2023-09-18,R209,12.175
18606,2023-09-18,R2037,12.43
18607,2023-09-18,R2040,12.64
18609,2023-09-18,R2044,12.73
18611,2023-09-18,R2053,12.57
18612,2023-09-18,ZARGB2,8.94
18613,2023-09-18,ZARGB3,9.067
18614,2023-09-18,ZARGB5,9.879
18615,2023-09-18,ZARGB10,11.741
18616,2023-09-18,ZARGB15,12.543
18617,2023-09-18,ZARGB20,12.706
18618,2023-09-18,ZARGB25,12.633
18619,2023-09-18,ZARGB30,12.564
18610,2023-09-18,R2048,12.64
18585,2023-09-15,R2048,12.62
18579,2023-09-15,R2035,12.05
18583,2023-09-15,R214,12.52
18582,2023-09-15,R2040,12.61
18581,2023-09-15,R2037,12.395
18580,2023-09-15,R209,12.135
18574,2023-09-15,SATB12M,8.813
18578,2023-09-15,R2032,11.35
18577,2023-09-15,R213,11.01
18576,2023-09-15,R2030,10.465
18575,2023-09-15,R186,9.065
18584,2023-09-15,R2044,12.71
18586,2023-09-15,R2053,12.55
18597,2023-09-15,SATB9M,9.12
18593,2023-09-15,ZARGB25,12.613
18598,2023-09-15,REPO,8.25
18596,2023-09-15,SATB6M,9.06
18595,2023-09-15,SATB3M,8.44
18594,2023-09-15,ZARGB30,12.544
18587,2023-09-15,ZARGB2,8.924
18592,2023-09-15,ZARGB20,12.685
18591,2023-09-15,ZARGB15,12.51
18590,2023-09-15,ZARGB10,11.699
18589,2023-09-15,ZARGB5,9.843
18588,2023-09-15,ZARGB3,9.035
18562,2023-09-14,R214,12.53
18553,2023-09-14,SATB12M,8.797
18554,2023-09-14,R186,9.03
18555,2023-09-14,R2030,10.43
18556,2023-09-14,R213,10.985
18557,2023-09-14,R2032,11.33
18558,2023-09-14,R2035,12.04
18559,2023-09-14,R209,12.12
18560,2023-09-14,R2037,12.38
18561,2023-09-14,R2040,12.63
18564,2023-09-14,R2048,12.635
18568,2023-09-14,ZARGB5,9.807
18563,2023-09-14,R2044,12.725
18565,2023-09-14,R2053,12.53
18566,2023-09-14,ZARGB2,8.9
18567,2023-09-14,ZARGB3,9.002
18569,2023-09-14,ZARGB10,11.683
18570,2023-09-14,ZARGB15,12.514
18571,2023-09-14,ZARGB20,12.699
18572,2023-09-14,ZARGB25,12.624
18573,2023-09-14,ZARGB30,12.521
18536,2023-09-13,R2032,11.31
18539,2023-09-13,R2037,12.36
18538,2023-09-13,R209,12.095
18537,2023-09-13,R2035,12.01
18544,2023-09-13,R2053,12.53
18535,2023-09-13,R213,10.965
18534,2023-09-13,R2030,10.4
18533,2023-09-13,R186,9.005
18532,2023-09-13,SATB12M,8.797
18541,2023-09-13,R214,12.5
18540,2023-09-13,R2040,12.61
18547,2023-09-13,ZARGB5,9.778
18542,2023-09-13,R2044,12.705
18545,2023-09-13,ZARGB2,8.888
18546,2023-09-13,ZARGB3,8.98
18548,2023-09-13,ZARGB10,11.657
18549,2023-09-13,ZARGB15,12.494
18550,2023-09-13,ZARGB20,12.677
18551,2023-09-13,ZARGB25,12.606
18552,2023-09-13,ZARGB30,12.523
18543,2023-09-13,R2048,12.615
18516,2023-09-12,R2035,11.99
18519,2023-09-12,R2040,12.6
18518,2023-09-12,R2037,12.335
18517,2023-09-12,R209,12.075
18512,2023-09-12,R186,9.0
18515,2023-09-12,R2032,11.3
18514,2023-09-12,R213,10.955
18513,2023-09-12,R2030,10.385
18521,2023-09-12,R2044,12.685
18511,2023-09-12,SATB12M,8.797
18520,2023-09-12,R214,12.48
18524,2023-09-12,ZARGB2,8.886
18522,2023-09-12,R2048,12.6
18523,2023-09-12,R2053,12.52
18525,2023-09-12,ZARGB3,8.975
18526,2023-09-12,ZARGB5,9.766
18527,2023-09-12,ZARGB10,11.642
18528,2023-09-12,ZARGB15,12.477
18529,2023-09-12,ZARGB20,12.657
18530,2023-09-12,ZARGB25,12.592
18531,2023-09-12,ZARGB30,12.513
18495,2023-09-11,R2035,11.97
18490,2023-09-11,SATB12M,8.797
18497,2023-09-11,R2037,12.31
18496,2023-09-11,R209,12.05
18500,2023-09-11,R2044,12.675
18494,2023-09-11,R2032,11.27
18493,2023-09-11,R213,10.93
18492,2023-09-11,R2030,10.36
18491,2023-09-11,R186,8.97
18499,2023-09-11,R214,12.455
18498,2023-09-11,R2040,12.59
18501,2023-09-11,R2048,12.59
18507,2023-09-11,ZARGB15,12.459
18510,2023-09-11,ZARGB30,12.503
18509,2023-09-11,ZARGB25,12.582
18508,2023-09-11,ZARGB20,12.645
18502,2023-09-11,R2053,12.51
18506,2023-09-11,ZARGB10,11.616
18503,2023-09-11,ZARGB2,8.873
18505,2023-09-11,ZARGB5,9.738
18504,2023-09-11,ZARGB3,8.949
18478,2023-09-08,ZARGB2,8.877
18465,2023-09-08,SATB12M,8.797
18466,2023-09-08,R186,8.98
18467,2023-09-08,R2030,10.345
18468,2023-09-08,R213,10.905
18469,2023-09-08,R2032,11.235
18470,2023-09-08,R2035,11.93
18471,2023-09-08,R209,12.015
18472,2023-09-08,R2037,12.275
18474,2023-09-08,R214,12.405
18476,2023-09-08,R2048,12.54
18477,2023-09-08,R2053,12.465
18473,2023-09-08,R2040,12.535
18479,2023-09-08,ZARGB3,8.957
18484,2023-09-08,ZARGB25,12.532
18489,2023-09-08,REPO,8.25
18480,2023-09-08,ZARGB5,9.73
18487,2023-09-08,SATB6M,8.98
18486,2023-09-08,SATB3M,8.48
18485,2023-09-08,ZARGB30,12.459
18488,2023-09-08,SATB9M,9.1
18483,2023-09-08,ZARGB20,12.594
18482,2023-09-08,ZARGB15,12.413
18481,2023-09-08,ZARGB10,11.577
18475,2023-09-08,R2044,12.625
18444,2023-09-07,SATB12M,8.786
18454,2023-09-07,R2044,12.6
18445,2023-09-07,R186,9.04
18446,2023-09-07,R2030,10.375
18447,2023-09-07,R213,10.915
18448,2023-09-07,R2032,11.25
18449,2023-09-07,R2035,11.93
18450,2023-09-07,R209,12.015
18451,2023-09-07,R2037,12.275
18452,2023-09-07,R2040,12.52
18453,2023-09-07,R214,12.385
18455,2023-09-07,R2048,12.515
18461,2023-09-07,ZARGB15,12.405
18464,2023-09-07,ZARGB30,12.434
18463,2023-09-07,ZARGB25,12.508
18462,2023-09-07,ZARGB20,12.57
18456,2023-09-07,R2053,12.44
18460,2023-09-07,ZARGB10,11.584
18458,2023-09-07,ZARGB3,9.008
18457,2023-09-07,ZARGB2,8.897
18459,2023-09-07,ZARGB5,9.773
18434,2023-09-06,R2048,12.59
18423,2023-09-06,SATB12M,8.786
18424,2023-09-06,R186,9.075
18425,2023-09-06,R2030,10.4
18426,2023-09-06,R213,10.93
18427,2023-09-06,R2032,11.26
18428,2023-09-06,R2035,11.97
18429,2023-09-06,R209,12.05
18431,2023-09-06,R2040,12.59
18432,2023-09-06,R214,12.455
18430,2023-09-06,R2037,12.32
18433,2023-09-06,R2044,12.675
18436,2023-09-06,ZARGB2,8.912
18437,2023-09-06,ZARGB3,9.038
18438,2023-09-06,ZARGB5,9.801
18439,2023-09-06,ZARGB10,11.608
18440,2023-09-06,ZARGB15,12.463
18441,2023-09-06,ZARGB20,12.644
18442,2023-09-06,ZARGB25,12.582
18443,2023-09-06,ZARGB30,12.503
18435,2023-09-06,R2053,12.51
18407,2023-09-05,R2035,11.95
18411,2023-09-05,R214,12.445
18410,2023-09-05,R2040,12.58
18409,2023-09-05,R2037,12.305
18408,2023-09-05,R209,12.03
18412,2023-09-05,R2044,12.68
18406,2023-09-05,R2032,11.22
18405,2023-09-05,R213,10.9
18404,2023-09-05,R2030,10.4
18403,2023-09-05,R186,9.07
18402,2023-09-05,SATB12M,8.786
18413,2023-09-05,R2048,12.59
18414,2023-09-05,R2053,12.51
18419,2023-09-05,ZARGB15,12.45
18422,2023-09-05,ZARGB30,12.504
18421,2023-09-05,ZARGB25,12.582
18420,2023-09-05,ZARGB20,12.646
18415,2023-09-05,ZARGB2,8.91
18418,2023-09-05,ZARGB10,11.577
18417,2023-09-05,ZARGB5,9.798
18416,2023-09-05,ZARGB3,9.033
18391,2023-09-04,R2044,12.575
18382,2023-09-04,R186,8.97
18383,2023-09-04,R2030,10.325
18384,2023-09-04,R213,10.815
18385,2023-09-04,R2032,11.13
18386,2023-09-04,R2035,11.82
18387,2023-09-04,R209,11.91
18388,2023-09-04,R2037,12.185
18389,2023-09-04,R2040,12.48
18381,2023-09-04,SATB12M,8.786
18390,2023-09-04,R214,12.34
18392,2023-09-04,R2048,12.49
18394,2023-09-04,ZARGB2,8.866
18395,2023-09-04,ZARGB3,8.946
18396,2023-09-04,ZARGB5,9.71
18397,2023-09-04,ZARGB10,11.467
18398,2023-09-04,ZARGB15,12.34
18399,2023-09-04,ZARGB20,12.541
18400,2023-09-04,ZARGB25,12.481
18401,2023-09-04,ZARGB30,12.393
18393,2023-09-04,R2053,12.4
18362,2023-09-01,R209,11.82
18366,2023-09-01,R2044,12.49
18365,2023-09-01,R214,12.25
18364,2023-09-01,R2040,12.41
18363,2023-09-01,R2037,12.095
18357,2023-09-01,R186,8.92
18361,2023-09-01,R2035,11.74
18360,2023-09-01,R2032,11.06
18359,2023-09-01,R213,10.76
18358,2023-09-01,R2030,10.275
18356,2023-09-01,SATB12M,8.786
18367,2023-09-01,R2048,12.41
18368,2023-09-01,R2053,12.31
18369,2023-09-01,ZARGB2,8.844
18376,2023-09-01,ZARGB30,12.302
18370,2023-09-01,ZARGB3,8.902
18379,2023-09-01,SATB9M,9.03
18378,2023-09-01,SATB6M,8.85
18377,2023-09-01,SATB3M,8.52
18380,2023-09-01,REPO,8.25
18375,2023-09-01,ZARGB25,12.4
18374,2023-09-01,ZARGB20,12.455
18373,2023-09-01,ZARGB15,12.26
18372,2023-09-01,ZARGB10,11.39
18371,2023-09-01,ZARGB5,9.656
18345,2023-08-31,R2044,12.475
18335,2023-08-31,SATB12M,8.831
18336,2023-08-31,R186,8.865
18337,2023-08-31,R2030,10.25
18338,2023-08-31,R213,10.74
18339,2023-08-31,R2032,11.04
18340,2023-08-31,R2035,11.72
18341,2023-08-31,R209,11.8
18342,2023-08-31,R2037,12.075
18343,2023-08-31,R2040,12.4
18344,2023-08-31,R214,12.235
18347,2023-08-31,R2053,12.31
18346,2023-08-31,R2048,12.385
18349,2023-08-31,ZARGB3,8.86
18350,2023-08-31,ZARGB5,9.617
18351,2023-08-31,ZARGB10,11.369
18352,2023-08-31,ZARGB15,12.245
18353,2023-08-31,ZARGB20,12.439
18354,2023-08-31,ZARGB25,12.378
18355,2023-08-31,ZARGB30,12.304
18348,2023-08-31,ZARGB2,8.846
18318,2023-08-30,R2032,10.97
18322,2023-08-30,R2040,12.32
18320,2023-08-30,R209,11.74
18319,2023-08-30,R2035,11.66
18324,2023-08-30,R2044,12.405
18317,2023-08-30,R213,10.675
18316,2023-08-30,R2030,10.185
18315,2023-08-30,R186,8.825
18314,2023-08-30,SATB12M,8.831
18323,2023-08-30,R214,12.17
18321,2023-08-30,R2037,12.015
18325,2023-08-30,R2048,12.32
18330,2023-08-30,ZARGB10,11.303
18333,2023-08-30,ZARGB25,12.312
18332,2023-08-30,ZARGB20,12.37
18331,2023-08-30,ZARGB15,12.174
18334,2023-08-30,ZARGB30,12.234
18329,2023-08-30,ZARGB5,9.562
18328,2023-08-30,ZARGB3,8.826
18326,2023-08-30,R2053,12.24
18327,2023-08-30,ZARGB2,8.828
18303,2023-08-29,R2044,12.335
18293,2023-08-29,SATB12M,8.831
18294,2023-08-29,R186,8.825
18295,2023-08-29,R2030,10.14
18296,2023-08-29,R213,10.64
18297,2023-08-29,R2032,10.93
18298,2023-08-29,R2035,11.61
18299,2023-08-29,R209,11.695
18300,2023-08-29,R2037,11.96
18301,2023-08-29,R2040,12.25
18302,2023-08-29,R214,12.095
18304,2023-08-29,R2048,12.235
